airline,source,destination,total_stops,additional_info,price,duration_in_min,journey_day,journey_month,dept_hour,dept_min,arrv_hour,arrv_min
SpiceJet,Banglore,Delhi,0,No Info,4423,175,9,5,21,10,0,5
IndiGo,Mumbai,Hyderabad,0,No Info,2227,90,18,6,21,20,22,50
Multiple carriers,Delhi,Cochin,1,No Info,13377,930,24,6,10,0,1,30
Jet Airways,Banglore,Delhi,0,No Info,8016,180,12,6,8,20,11,20
Air India,Banglore,Delhi,1,No Info,5626,1560,9,3,6,50,8,50
IndiGo,Banglore,Delhi,0,No Info,6860,170,21,3,16,55,19,45
IndiGo,Delhi,Cochin,1,No Info,6628,415,1,6,18,35,1,30
Jet Airways,Delhi,Cochin,1,In-flight meal not included,11627,1415,6,6,13,0,12,35
SpiceJet,Kolkata,Banglore,0,No Info,4174,150,9,6,17,10,19,40
Jet Airways,Delhi,Cochin,1,No Info,14714,610,1,6,18,15,4,25
Jet Airways,Kolkata,Banglore,1,No Info,14151,690,12,5,9,35,21,5
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,1620,27,5,16,0,19,0
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,395,18,5,21,50,4,25
IndiGo,Banglore,Delhi,0,No Info,3943,170,18,6,10,10,13,0
Air Asia,Kolkata,Banglore,2,No Info,7870,500,9,6,15,10,23,30
Jet Airways,Banglore,Delhi,0,No Info,8016,185,18,6,18,55,22,0
Air India,Delhi,Cochin,2,No Info,10975,1220,15,5,13,5,9,25
IndiGo,Chennai,Kolkata,0,No Info,3850,140,27,5,7,55,10,15
IndiGo,Kolkata,Banglore,0,No Info,4804,165,18,6,20,25,23,10
Jet Airways,Delhi,Cochin,1,No Info,15554,455,9,3,20,50,4,25
SpiceJet,Kolkata,Banglore,0,No Info,4465,160,18,3,6,55,9,35
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,11841,775,9,6,21,10,10,5
Multiple carriers,Delhi,Cochin,1,No Info,19332,675,9,3,8,0,19,15
SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3841,150,21,6,17,10,19,40
IndiGo,Banglore,Delhi,0,No Info,4591,170,12,4,10,10,13,0
IndiGo,Kolkata,Banglore,1,No Info,5192,290,24,5,15,15,20,5
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10577,1100,9,6,18,15,12,35
Jet Airways,Delhi,Cochin,2,No Info,15129,535,18,5,19,30,4,25
Multiple carriers,Delhi,Cochin,1,No Info,11789,780,6,6,6,0,19,0
Air India,Delhi,Cochin,1,No Info,8372,640,15,6,21,0,7,40
Multiple carriers,Delhi,Cochin,1,No Info,8266,795,9,5,6,0,19,15
Jet Airways,Kolkata,Banglore,1,No Info,14781,800,6,5,6,30,19,50
Vistara,Banglore,Delhi,0,No Info,5613,155,21,4,17,0,19,35
Jet Airways,Banglore,Delhi,0,No Info,7229,175,24,4,15,15,18,10
IndiGo,Delhi,Cochin,1,No Info,6093,750,24,6,8,30,21,0
Jet Airways,Delhi,Cochin,2,In-flight meal not included,15544,425,21,5,5,30,12,35
GoAir,Delhi,Cochin,1,No Info,6296,370,18,5,7,25,13,35
IndiGo,Kolkata,Banglore,0,No Info,4804,165,27,4,9,35,12,20
Air Asia,Banglore,Delhi,0,No Info,4284,170,18,3,5,50,8,40
IndiGo,Delhi,Cochin,1,No Info,6558,885,21,3,7,35,22,20
IndiGo,Delhi,Cochin,1,No Info,5775,345,24,6,21,50,3,35
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3543,135,21,6,8,20,10,35
Jet Airways,Delhi,Cochin,1,No Info,17024,535,6,3,9,55,18,50
Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4050,85,9,6,7,5,8,30
Air India,Mumbai,Hyderabad,2,No Info,14219,1995,6,3,6,0,15,15
Jet Airways,Banglore,Delhi,1,No Info,26890,405,1,3,11,40,18,25
Air India,Delhi,Cochin,2,No Info,9653,1410,15,6,19,45,19,15
IndiGo,Banglore,Delhi,0,No Info,3943,165,21,6,6,5,8,50
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,1575,18,5,14,5,16,20
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8849,450,1,4,21,10,4,40
IndiGo,Mumbai,Hyderabad,0,No Info,2754,90,12,6,1,40,3,10
Air India,Delhi,Cochin,2,No Info,10756,2185,21,3,6,50,19,15
Jet Airways,Kolkata,Banglore,1,No Info,14151,1685,21,5,17,0,21,5
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9899,740,12,6,8,25,20,45
Jet Airways,Delhi,Cochin,1,No Info,12242,385,21,3,22,0,4,25
Jet Airways,Delhi,Cochin,2,In-flight meal not included,10368,1025,9,6,19,30,12,35
IndiGo,Mumbai,Hyderabad,0,No Info,5755,90,24,5,9,10,10,40
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,610,15,6,18,15,4,25
SpiceJet,Kolkata,Banglore,1,No Info,6643,520,6,6,8,35,17,15
Multiple carriers Premium economy,Delhi,Cochin,1,No Info,9845,810,21,3,7,30,21,0
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,11134,1025,24,3,18,55,12,0
SpiceJet,Delhi,Cochin,1,No Info,5583,315,1,6,6,5,11,20
IndiGo,Delhi,Cochin,1,No Info,6069,300,15,5,16,0,21,0
Jet Airways,Banglore,Delhi,1,No Info,13817,875,12,3,5,45,20,20
Air India,Delhi,Cochin,2,No Info,10283,2295,6,3,5,0,19,15
Air India,Kolkata,Banglore,1,No Info,7795,675,24,3,9,50,21,5
Multiple carriers,Delhi,Cochin,1,In-flight meal not included,13977,440,9,3,0,20,7,40
IndiGo,Kolkata,Banglore,0,No Info,6038,160,3,3,20,25,23,5
IndiGo,Delhi,Cochin,0,No Info,5601,195,21,5,5,35,8,50
IndiGo,Delhi,Cochin,1,No Info,12351,810,9,3,7,30,21,0
Air India,Delhi,Cochin,0,No Info,6094,170,15,4,5,10,8,0
Multiple carriers,Delhi,Cochin,1,No Info,7575,520,15,5,10,35,19,15
Jet Airways,Delhi,Cochin,1,No Info,16079,395,27,5,21,50,4,25
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,1425,15,6,19,15,19,0
Air Asia,Delhi,Cochin,1,No Info,13470,340,9,6,16,45,22,25
Jet Airways,Banglore,Delhi,0,No Info,8016,175,27,6,11,10,14,5
Jet Airways,Delhi,Cochin,1,No Info,16289,1475,9,3,18,15,18,50
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,520,6,6,19,45,4,25
IndiGo,Banglore,Delhi,0,No Info,4823,175,27,6,18,25,21,20
Vistara,Banglore,Delhi,0,No Info,5403,170,9,4,9,45,12,35
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,1530,18,5,17,30,19,0
SpiceJet,Mumbai,Hyderabad,1,No Info,13552,495,6,3,14,10,22,25
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,740,9,5,8,25,20,45
Air India,Mumbai,Hyderabad,2,No Info,22619,845,6,3,9,40,23,45
Multiple carriers,Delhi,Cochin,1,No Info,8625,520,27,5,10,35,19,15
IndiGo,Banglore,Delhi,0,No Info,4777,165,24,3,6,0,8,45
IndiGo,Delhi,Cochin,0,No Info,5000,195,21,6,5,35,8,50
Jet Airways,Delhi,Cochin,2,No Info,21954,1475,6,3,19,10,19,45
Jet Airways,Delhi,Cochin,1,In-flight meal not included,11627,1015,3,6,11,30,4,25
Jet Airways,Kolkata,Banglore,1,No Info,13731,875,24,5,14,5,4,40
IndiGo,Banglore,Delhi,0,No Info,3943,170,3,4,22,10,1,0
Jet Airways,Banglore,Delhi,1,In-flight meal not included,6992,845,21,3,8,55,23,0
Jet Airways,Kolkata,Banglore,1,No Info,13941,585,6,5,18,55,4,40
Jet Airways,Delhi,Cochin,1,No Info,14924,660,12,6,8,0,19,0
Jet Airways,Delhi,Cochin,1,No Info,18371,620,27,6,2,15,12,35
IndiGo,Chennai,Kolkata,0,No Info,7295,140,3,3,19,35,21,55
Air India,Banglore,Delhi,1,No Info,9292,1420,9,3,17,0,16,40
Jet Airways,Kolkata,Banglore,1,No Info,13941,735,1,5,20,0,8,15
IndiGo,Kolkata,Banglore,1,No Info,4150,335,24,3,4,15,9,50
Jet Airways,Kolkata,Banglore,1,No Info,12681,1655,1,4,20,0,23,35
IndiGo,Delhi,Cochin,0,No Info,5601,195,3,6,5,35,8,50
Air India,Kolkata,Banglore,2,No Info,14960,1385,21,5,9,50,8,55
Multiple carriers,Delhi,Cochin,1,No Info,13377,570,6,6,16,0,1,30
IndiGo,Mumbai,Hyderabad,0,No Info,3342,85,21,3,12,0,13,25
Jet Airways,Banglore,Delhi,0,No Info,8016,175,6,6,11,10,14,5
Jet Airways,Banglore,Delhi,1,No Info,16736,1035,6,3,5,45,23,0
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10031,1350,24,3,21,10,19,40
Air India,Delhi,Cochin,1,No Info,7258,705,21,4,20,30,8,15
Jet Airways,Banglore,Delhi,0,In-flight meal not included,4030,165,15,5,6,0,8,45
Air India,Delhi,Cochin,2,No Info,13381,1730,24,6,14,25,19,15
Jet Airways,Delhi,Cochin,2,No Info,16704,1760,24,5,23,5,4,25
Multiple carriers,Delhi,Cochin,1,No Info,13587,720,24,6,9,0,21,0
Jet Airways,Mumbai,Hyderabad,0,No Info,5678,85,24,5,2,55,4,20
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,7064,1610,1,4,6,30,9,20
IndiGo,Mumbai,Hyderabad,0,No Info,2754,90,3,6,1,40,3,10
Vistara,Banglore,Delhi,0,No Info,4668,170,1,5,9,45,12,35
Air Asia,Kolkata,Banglore,0,No Info,4107,150,21,6,19,55,22,25
IndiGo,Delhi,Cochin,1,No Info,5894,965,12,6,4,55,21,0
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,655,6,6,17,30,4,25
Jet Airways,Kolkata,Banglore,1,No Info,13941,945,9,5,16,30,8,15
Air Asia,Delhi,Cochin,1,No Info,6451,865,27,4,16,45,7,10
Air India,Delhi,Cochin,2,No Info,10975,1420,27,6,9,45,9,25
Air India,Delhi,Cochin,2,No Info,14746,1180,6,3,12,0,7,40
Air Asia,Delhi,Cochin,1,No Info,11410,625,6,6,20,45,7,10
SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3841,155,1,5,6,55,9,30
Air India,Delhi,Cochin,2,No Info,13381,1490,3,6,6,50,7,40
Multiple carriers,Delhi,Cochin,1,No Info,15078,840,9,5,11,30,1,30
Air India,Kolkata,Banglore,1,No Info,8891,545,9,5,9,25,18,30
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,7757,1200,9,5,14,5,10,5
Air India,Banglore,Delhi,0,No Info,4441,180,9,4,5,45,8,45
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10031,1345,24,3,19,45,18,10
IndiGo,Banglore,Delhi,0,No Info,4823,170,12,4,13,0,15,50
Air India,Kolkata,Banglore,1,No Info,8576,545,24,5,9,25,18,30
Jet Airways,Banglore,Delhi,1,In-flight meal not included,11087,1175,12,3,20,35,16,10
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,1595,18,5,10,0,12,35
Air India,Kolkata,Banglore,2,No Info,11432,1210,21,5,9,25,5,35
IndiGo,Mumbai,Hyderabad,0,No Info,3175,90,15,6,16,55,18,25
IndiGo,Kolkata,Banglore,0,No Info,4804,165,12,5,9,35,12,20
Jet Airways,Delhi,Cochin,2,No Info,13014,1615,27,6,9,40,12,35
Multiple carriers,Delhi,Cochin,1,In-flight meal not included,7563,910,6,3,7,10,22,20
SpiceJet,Kolkata,Banglore,0,No Info,3873,145,27,6,9,0,11,25
IndiGo,Delhi,Cochin,1,No Info,6282,780,21,5,11,55,0,55
Multiple carriers,Delhi,Cochin,1,No Info,11200,630,1,6,8,30,19,0
Vistara,Banglore,Delhi,0,No Info,5613,165,24,4,19,30,22,15
IndiGo,Delhi,Cochin,0,No Info,5601,195,9,6,14,20,17,35
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,1355,15,6,14,0,12,35
IndiGo,Banglore,Delhi,0,No Info,14306,175,1,3,20,0,22,55
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,7064,1485,1,4,20,0,20,45
Jet Airways,Delhi,Cochin,1,No Info,18371,715,27,6,7,5,19,0
Air India,Delhi,Cochin,2,No Info,13591,1380,18,5,20,15,19,15
Multiple carriers,Delhi,Cochin,2,No Info,18275,460,12,6,17,50,1,30
IndiGo,Banglore,Delhi,0,No Info,3749,170,27,5,22,10,1,0
Air Asia,Kolkata,Banglore,2,No Info,6810,500,6,6,15,10,23,30
Multiple carriers,Delhi,Cochin,1,No Info,7485,560,21,5,11,40,21,0
Air India,Kolkata,Banglore,0,No Info,5510,150,27,5,14,15,16,45
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,610,3,6,18,15,4,25
Multiple carriers,Delhi,Cochin,1,No Info,6723,540,24,6,7,10,16,10
Multiple carriers,Delhi,Cochin,1,No Info,8307,450,21,3,8,0,15,30
GoAir,Delhi,Cochin,1,No Info,6146,460,21,4,5,55,13,35
Jet Airways,Delhi,Cochin,2,No Info,15129,1390,27,5,13,25,12,35
Jet Airways,Kolkata,Banglore,1,No Info,14388,330,1,5,6,30,12,0
Jet Airways,Banglore,Delhi,0,In-flight meal not included,4544,165,6,4,6,0,8,45
Jet Airways,Banglore,Delhi,0,In-flight meal not included,5198,175,12,4,11,10,14,5
IndiGo,Delhi,Cochin,1,No Info,7503,975,18,5,9,15,1,30
GoAir,Banglore,Delhi,1,No Info,12314,270,1,3,15,45,20,15
Air India,Delhi,Cochin,1,No Info,8372,375,15,5,13,0,19,15
Jet Airways,Kolkata,Banglore,1,No Info,14781,425,21,5,16,30,23,35
Jet Airways,Banglore,Delhi,0,No Info,8016,180,24,6,19,50,22,50
IndiGo,Chennai,Kolkata,0,No Info,6297,140,12,3,7,55,10,15
Jet Airways,Kolkata,Banglore,1,No Info,14388,1495,1,5,8,25,9,20
GoAir,Delhi,Cochin,1,No Info,6393,370,1,6,7,25,13,35
Jet Airways,Kolkata,Banglore,1,No Info,14939,775,9,6,21,10,10,5
Jet Airways,Kolkata,Banglore,1,No Info,14781,685,21,5,8,25,19,50
IndiGo,Delhi,Cochin,1,No Info,14871,810,6,3,7,30,21,0
SpiceJet,Banglore,Delhi,0,No check-in baggage included,4319,170,6,4,9,30,12,20
Jet Airways,Kolkata,Banglore,1,No Info,13067,1005,15,5,17,0,9,45
Jet Airways,Banglore,Delhi,1,No Info,26890,920,1,3,16,55,8,15
Jet Airways,Banglore,Delhi,1,In-flight meal not included,9134,375,15,3,7,0,13,15
IndiGo,Banglore,Delhi,0,No Info,3943,180,3,4,21,15,0,15
Air India,Delhi,Cochin,1,No Info,8879,735,24,6,7,0,19,15
Jet Airways,Kolkata,Banglore,1,No Info,14571,1025,24,5,18,55,12,0
IndiGo,Kolkata,Banglore,0,No Info,5644,155,15,6,9,35,12,10
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,1330,9,6,6,30,4,40
Jet Airways,Kolkata,Banglore,1,No Info,14571,570,9,6,14,5,23,35
SpiceJet,Banglore,Delhi,0,No Info,3971,175,9,6,21,10,0,5
Jet Airways,Delhi,Cochin,1,No Info,17024,590,6,3,9,0,18,50
SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3841,150,15,5,17,10,19,40
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,1395,27,5,19,45,19,0
Jet Airways,Delhi,Cochin,2,No Info,13376,830,6,6,14,35,4,25
Jet Airways,Delhi,Cochin,2,In-flight meal not included,9905,910,15,6,21,25,12,35
Multiple carriers,Delhi,Cochin,1,No Info,13587,780,15,6,8,0,21,0
Multiple carriers,Delhi,Cochin,1,No Info,7740,900,24,6,6,0,21,0
Multiple carriers,Delhi,Cochin,1,No Info,9794,395,21,5,6,0,12,35
Jet Airways,Banglore,Delhi,1,No Info,17471,1350,6,3,22,50,21,20
Jet Airways,Delhi,Cochin,2,In-flight meal not included,15129,880,9,3,13,45,4,25
Jet Airways,Kolkata,Banglore,1,No Info,11467,1730,1,5,9,35,14,25
Air India,Kolkata,Banglore,1,No Info,6528,1440,12,6,14,35,14,35
Multiple carriers,Delhi,Cochin,1,No Info,8266,705,27,6,7,30,19,15
IndiGo,Delhi,Cochin,1,No Info,6442,940,6,3,6,40,22,20
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,825,12,6,22,50,12,35
Jet Airways,Mumbai,Hyderabad,0,No Info,17501,85,1,3,7,10,8,35
Air India,Banglore,Delhi,0,No Info,8273,165,24,5,6,10,8,55
Air India,Delhi,Cochin,2,No Info,10703,1485,21,3,18,30,19,15
Multiple carriers,Delhi,Cochin,1,No Info,8510,930,15,6,10,0,1,30
IndiGo,Mumbai,Hyderabad,0,No Info,2754,90,15,3,20,5,21,35
IndiGo,Mumbai,Hyderabad,0,No Info,2227,90,18,5,21,20,22,50
Multiple carriers,Delhi,Cochin,2,No Info,18275,460,27,6,17,50,1,30
SpiceJet,Delhi,Cochin,1,No check-in baggage included,6356,270,21,4,8,45,13,15
Jet Airways,Kolkata,Banglore,1,No Info,14781,400,15,5,14,5,20,45
Jet Airways,Delhi,Cochin,2,In-flight meal not included,13029,1615,27,5,9,40,12,35
GoAir,Banglore,Delhi,0,No Info,4340,170,1,5,11,40,14,30
Air India,Kolkata,Banglore,2,No Info,12224,1215,12,6,17,30,13,45
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,1545,24,5,16,30,18,15
IndiGo,Kolkata,Banglore,0,No Info,4174,165,15,4,9,35,12,20
Air India,Banglore,Delhi,2,No Info,14887,1795,1,3,17,0,22,55
Multiple carriers,Delhi,Cochin,1,No Info,12853,615,9,4,9,0,19,15
Air Asia,Banglore,Delhi,0,No Info,3383,165,15,5,11,10,13,55
GoAir,Banglore,Delhi,0,No Info,11111,175,1,3,11,40,14,35
Jet Airways,Banglore,Delhi,0,No Info,7229,180,1,4,17,45,20,45
Jet Airways,Banglore,Delhi,0,In-flight meal not included,4030,180,6,5,17,45,20,45
IndiGo,Delhi,Cochin,1,No Info,14871,635,3,3,15,0,1,35
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,520,27,5,19,45,4,25
Multiple carriers,Delhi,Cochin,1,No Info,14533,465,18,5,11,30,19,15
Air India,Delhi,Cochin,1,No Info,7258,875,6,6,17,40,8,15
SpiceJet,Delhi,Cochin,1,No Info,4812,270,1,4,8,45,13,15
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,12384,690,9,5,9,35,21,5
Air India,Delhi,Cochin,2,No Info,8603,1180,6,6,12,0,7,40
Air India,Delhi,Cochin,2,No Info,8603,435,6,6,12,0,19,15
Jet Airways,Kolkata,Banglore,1,No Info,14231,570,24,3,13,55,23,25
Air Asia,Delhi,Cochin,1,No Info,11410,625,1,6,20,45,7,10
Air India,Banglore,Delhi,2,No Info,12725,1475,12,3,8,50,9,25
Jet Airways,Delhi,Cochin,2,No Info,13292,1620,9,6,9,35,12,35
SpiceJet,Kolkata,Banglore,0,No Info,3873,155,24,4,6,55,9,30
IndiGo,Chennai,Kolkata,0,No Info,3850,140,15,6,7,55,10,15
SpiceJet,Kolkata,Banglore,1,No Info,8479,435,9,6,11,35,18,50
Jet Airways,Kolkata,Banglore,1,No Info,14151,840,24,5,9,35,23,35
Air India,Banglore,Delhi,0,No Info,5228,165,24,4,6,10,8,55
Vistara,Kolkata,Banglore,1,No Info,9397,1555,9,6,7,10,9,5
Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4995,85,18,6,7,5,8,30
Air Asia,Banglore,Delhi,0,No Info,4282,170,3,4,4,55,7,45
Air India,Kolkata,Banglore,2,No Info,10697,810,21,5,8,20,21,50
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9314,1730,21,5,9,35,14,25
IndiGo,Chennai,Kolkata,0,No Info,3540,145,27,6,5,15,7,40
Air India,Delhi,Cochin,2,No Info,9443,1595,12,6,16,40,19,15
Multiple carriers,Delhi,Cochin,1,No Info,15147,480,6,3,7,30,15,30
Jet Airways,Banglore,Delhi,0,No Info,8016,180,27,6,8,20,11,20
IndiGo,Mumbai,Hyderabad,0,No Info,2437,90,24,5,21,20,22,50
IndiGo,Delhi,Cochin,1,No Info,6104,895,27,5,10,35,1,30
SpiceJet,Mumbai,Hyderabad,0,No check-in baggage included,1965,90,6,6,22,45,0,15
Multiple carriers,Delhi,Cochin,1,No Info,7408,480,12,6,13,0,21,0
IndiGo,Mumbai,Hyderabad,0,No Info,4049,90,18,6,6,25,7,55
Jet Airways,Banglore,Delhi,0,No Info,8016,180,1,6,19,50,22,50
Multiple carriers,Delhi,Cochin,1,No Info,10197,720,9,5,7,0,19,0
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,665,1,5,21,10,8,15
Jet Airways,Kolkata,Banglore,1,No Info,12692,1570,9,6,17,0,19,10
Jet Airways,Kolkata,Banglore,1,No Info,14781,475,6,5,8,25,16,20
GoAir,Kolkata,Banglore,1,No Info,7335,495,24,5,23,30,7,45
Jet Airways,Banglore,Delhi,0,No Info,7229,180,27,5,8,20,11,20
Vistara,Banglore,Delhi,0,No Info,4353,175,24,3,21,10,0,5
Jet Airways,Kolkata,Banglore,1,No Info,13941,735,18,5,20,0,8,15
Jet Airways,Banglore,Delhi,1,No Info,12295,280,12,3,9,45,14,25
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,825,27,5,22,50,12,35
Vistara,Kolkata,Banglore,1,No Info,7927,930,9,5,7,10,22,40
Air Asia,Banglore,Delhi,0,No Info,4483,170,15,4,23,55,2,45
Jet Airways,Banglore,Delhi,1,No Info,19225,405,6,3,11,40,18,25
GoAir,Delhi,Cochin,1,No Info,4692,370,24,4,7,25,13,35
Jet Airways,Banglore,Delhi,1,No Info,13555,725,18,3,21,25,9,30
IndiGo,Delhi,Cochin,1,No Info,6270,630,9,4,15,0,1,30
Jet Airways,Kolkata,Banglore,1,No Info,13584,1285,6,5,18,55,16,20
Jet Airways,Delhi,Cochin,2,No Info,13180,1600,21,3,16,10,18,50
Jet Airways,Kolkata,Banglore,1,No Info,14151,1295,12,5,20,25,18,0
Vistara,Delhi,Cochin,0,No Info,6216,190,12,5,6,0,9,10
Multiple carriers,Delhi,Cochin,1,No Info,15135,680,3,3,7,30,18,50
Multiple carriers,Delhi,Cochin,1,In-flight meal not included,15136,570,6,3,11,30,21,0
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,1005,27,6,2,15,19,0
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,12384,750,18,5,9,35,22,5
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9314,575,1,4,9,35,19,10
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9314,1500,6,5,17,0,18,0
Air India,Delhi,Cochin,1,No Info,10454,615,1,6,9,0,19,15
Air India,Delhi,Cochin,1,No Info,8372,520,18,5,23,0,7,40
Jet Airways,Delhi,Cochin,1,In-flight meal not included,11848,520,9,3,19,45,4,25
IndiGo,Delhi,Cochin,1,No Info,6416,750,1,6,8,30,21,0
IndiGo,Mumbai,Hyderabad,0,No Info,3342,90,1,4,9,10,10,40
Jet Airways,Kolkata,Banglore,2,In-flight meal not included,10118,1495,6,6,6,30,7,25
Air India,Kolkata,Banglore,2,No Info,14960,1185,12,6,16,45,12,30
IndiGo,Delhi,Cochin,1,No Info,6818,665,15,6,5,5,16,10
Air India,Kolkata,Banglore,0,No Info,5510,150,12,6,14,15,16,45
Jet Airways,Kolkata,Banglore,1,No Info,14388,1610,21,5,6,30,9,20
Multiple carriers,Delhi,Cochin,1,No Info,7038,455,3,6,14,55,22,30
Multiple carriers,Delhi,Cochin,1,No Info,8266,630,9,5,8,45,19,15
Jet Airways,Delhi,Cochin,2,No Info,14300,1480,27,6,18,20,19,0
Air India,Kolkata,Banglore,1,No Info,8366,1350,9,5,9,25,7,55
Jet Airways,Banglore,Delhi,1,No Info,17261,695,6,3,22,50,10,25
Vistara,Kolkata,Banglore,1,No Info,8452,1555,6,6,7,10,9,5
IndiGo,Kolkata,Banglore,1,No Info,8567,320,1,4,15,10,20,30
Multiple carriers,Delhi,Cochin,1,No Info,9646,925,15,6,7,5,22,30
Air India,Delhi,Cochin,2,No Info,8341,1275,9,4,22,0,19,15
Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,1530,9,5,17,30,19,0
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,3543,140,21,6,17,45,20,5
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,13994,395,9,6,17,0,23,35
IndiGo,Banglore,Delhi,0,No Info,4777,170,24,3,4,0,6,50
Multiple carriers,Delhi,Cochin,1,No Info,7038,455,1,6,14,55,22,30
IndiGo,Mumbai,Hyderabad,0,No Info,3175,90,3,4,16,55,18,25
Multiple carriers,Delhi,Cochin,1,No Info,7408,660,9,6,10,0,21,0
IndiGo,Banglore,Delhi,0,No Info,3943,180,15,6,21,15,0,15
Jet Airways,Delhi,Cochin,1,No Info,15974,1225,6,3,8,0,4,25
SpiceJet,Kolkata,Banglore,0,No Info,3873,155,27,5,6,55,9,30
IndiGo,Banglore,Delhi,0,No Info,4423,170,15,4,10,10,13,0
Jet Airways,Delhi,Cochin,2,No Info,15129,1125,27,5,9,40,4,25
IndiGo,Delhi,Cochin,1,No Info,8285,755,21,3,8,25,21,0
Air India,Mumbai,Hyderabad,0,No Info,3100,80,6,6,6,20,7,40
Air India,Banglore,Delhi,2,No Info,25430,1475,1,3,8,50,9,25
SpiceJet,Mumbai,Hyderabad,0,No check-in baggage included,2385,80,18,3,13,10,14,30
Jet Airways,Kolkata,Banglore,1,No Info,11316,435,6,6,10,20,17,35
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,1005,15,6,2,15,19,0
Air India,Kolkata,Banglore,2,No Info,7662,445,24,5,5,50,13,15
Jet Airways,Kolkata,Banglore,1,No Info,14231,1605,24,3,16,55,19,40
IndiGo,Delhi,Cochin,1,No Info,6838,705,9,6,9,15,21,0
Jet Airways,Delhi,Cochin,2,No Info,13376,1300,15,6,6,45,4,25
Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,1680,24,6,15,0,19,0
IndiGo,Delhi,Cochin,1,No Info,8574,480,27,3,7,30,15,30
Jet Airways,Banglore,Delhi,1,In-flight meal not included,7832,615,9,3,21,25,7,40
Multiple carriers,Delhi,Cochin,1,No Info,12192,910,24,6,3,50,19,0
Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,4050,90,15,6,10,20,11,50
GoAir,Banglore,Delhi,0,No Info,6722,175,12,4,7,45,10,40
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,10844,1220,9,6,20,0,16,20
Multiple carriers,Delhi,Cochin,1,No Info,7408,840,15,6,7,0,21,0
Jet Airways,Delhi,Cochin,1,No Info,14189,455,21,3,20,50,4,25
SpiceJet,Kolkata,Banglore,0,No check-in baggage included,3841,150,24,5,17,10,19,40
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,8586,875,9,5,14,5,4,40
Multiple carriers,Delhi,Cochin,1,No Info,7155,520,27,6,10,35,19,15
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9899,590,12,6,8,25,18,15
Jet Airways,Kolkata,Banglore,1,No Info,14571,685,6,6,8,25,19,50
IndiGo,Banglore,Delhi,0,No Info,4823,175,18,5,18,55,21,50
Jet Airways,Banglore,Delhi,0,In-flight meal not included,4544,180,9,5,8,20,11,20
Air India,Banglore,Delhi,1,1 Long layover,14752,1200,1,3,0,30,20,30
Air India,Kolkata,Banglore,2,No Info,11542,1700,9,5,9,25,13,45
